,placeid,name,displaylat,displaylon,geometry,lon,lat
203,230,Pertamina,-6.102868998,106.937250807,POINT (106.937250807 -6.102868998),106.937250807,-6.102868998
204,231,Bandar Aki Bintaro Hal,-6.25852,106.75973,POINT (106.75973 -6.25852),106.75973,-6.25852
205,232,Pertamina,-6.103531,106.71098,POINT (106.71098 -6.103531),106.71098,-6.103531
206,233,Pertamina,-6.16918,106.72836,POINT (106.72836 -6.16918),106.72836,-6.16918
207,234,Pertamina,-6.205019,106.857449,POINT (106.857449 -6.205019),106.857449,-6.205019
208,235,Pertamina,-6.11413,106.92754,POINT (106.92754 -6.11413),106.92754,-6.11413
209,236,Dodo,-6.182198,106.982084,POINT (106.982084 -6.182198),106.982084,-6.182198
210,237,Shell,-6.260269,106.789208,POINT (106.789208 -6.260269),106.789208,-6.260269
211,238,Pertamina,-6.357579027143874,106.81629644018689,POINT (106.81629644018689 -6.357579027143874),106.81629644018689,-6.357579027143874
212,241,Pertamina,-6.219231456537956,106.73095934545788,POINT (106.73095934545788 -6.219231456537956),106.73095934545788,-6.219231456537956
213,242,Pertamina,-6.34298,106.81798,POINT (106.81798 -6.34298),106.81798,-6.34298
214,244,BP,-6.23119,106.78957,POINT (106.78957 -6.23119),106.78957,-6.23119
215,246,Shell,-6.163572,106.774378,POINT (106.774378 -6.163572),106.774378,-6.163572
216,249,Pertamina,-6.203064733,106.946962336,POINT (106.946962336 -6.203064733),106.946962336,-6.203064733
217,250,Vivo,-6.338708457635334,106.90043251806301,POINT (106.90043251806301 -6.338708457635334),106.90043251806301,-6.338708457635334
218,251,Pertamina,-6.134205,106.834586,POINT (106.834586 -6.134205),106.834586,-6.134205
219,252,Bengkel Mobil Bos Bintaro,-6.275694843974391,106.76287382310203,POINT (106.76287382310203 -6.275694843974391),106.76287382310203,-6.275694843974391
220,253,Pertamina,-6.158957,106.692901,POINT (106.692901 -6.158957),106.692901,-6.158957
221,254,Pertamina,-6.152768724059115,106.91582006711562,POINT (106.91582006711562 -6.152768724059115),106.91582006711562,-6.152768724059115
222,255,Shell,-6.198619,106.797752,POINT (106.797752 -6.198619),106.797752,-6.198619
223,257,Pertamina,-6.29669,106.92238,POINT (106.92238 -6.29669),106.92238,-6.29669
224,258,Shell,-6.286137,106.771502,POINT (106.771502 -6.286137),106.771502,-6.286137
225,259,Shell,-6.250825,106.778595,POINT (106.778595 -6.250825),106.778595,-6.250825
226,260,BP,-6.32092,106.83615,POINT (106.83615 -6.32092),106.83615,-6.32092
227,262,Pertamina,-6.248771,106.777803,POINT (106.777803 -6.248771),106.777803,-6.248771
228,263,Pertamina,-6.1289563,106.9080603,POINT (106.9080603 -6.1289563),106.9080603,-6.1289563
229,264,Pertamina,-6.12842,106.85952,POINT (106.85952 -6.12842),106.85952,-6.12842
230,266,Pertamina,-6.124729,106.796274,POINT (106.796274 -6.124729),106.796274,-6.124729
231,267,Pertamina,-6.19653,106.87478,POINT (106.87478 -6.19653),106.87478,-6.19653
232,268,Pertamina,-6.122619999983003,106.89313552024835,POINT (106.89313552024835 -6.122619999983003),106.89313552024835,-6.122619999983003
233,269,Pertamina,-6.189664,106.967219,POINT (106.967219 -6.189664),106.967219,-6.189664
234,270,Pertamina,-6.24725,106.91139,POINT (106.91139 -6.24725),106.91139,-6.24725
235,271,Pertamina,-6.263511,106.786653,POINT (106.786653 -6.263511),106.786653,-6.263511
236,272,Masjid Pertamina,-6.145289762357998,106.88793788716615,POINT (106.88793788716615 -6.145289762357998),106.88793788716615,-6.145289762357998
237,273,Pertamina,-6.260111,106.867803,POINT (106.867803 -6.260111),106.867803,-6.260111
238,274,Pertamina,-6.27038,106.91176,POINT (106.91176 -6.27038),106.91176,-6.27038
239,275,Pt. Fortuna Mudalaga,-6.19277,106.86553,POINT (106.86553 -6.19277),106.86553,-6.19277
240,276,Pertamina,-6.21729,106.81378,POINT (106.81378 -6.21729),106.81378,-6.21729
241,278,Pertamina,-6.21752,106.76368,POINT (106.76368 -6.21752),106.76368,-6.21752
242,279,Pertamini,-6.23568,106.94577,POINT (106.94577 -6.23568),106.94577,-6.23568
243,281,Pertamina,-6.20882,106.97737,POINT (106.97737 -6.20882),106.97737,-6.20882
244,283,Pertamina,-6.227626214366513,106.92579616462022,POINT (106.92579616462022 -6.227626214366513),106.92579616462022,-6.227626214366513
245,284,Pertamina,-6.140782,106.827191,POINT (106.827191 -6.140782),106.827191,-6.140782
246,285,Pertamina,-6.274059,106.846605,POINT (106.846605 -6.274059),106.846605,-6.274059
247,286,Pertamina,-6.25993,106.77685,POINT (106.77685 -6.25993),106.77685,-6.25993
248,287,Pertamina,-6.14946,106.83506,POINT (106.83506 -6.14946),106.83506,-6.14946
249,288,Eka Sapta Bengkel,-6.16747,106.81488,POINT (106.81488 -6.16747),106.81488,-6.16747
250,289,Pertamina,-6.185582,106.906825,POINT (106.906825 -6.185582),106.906825,-6.185582
251,290,Pertamina,-6.09016,106.71082,POINT (106.71082 -6.09016),106.71082,-6.09016
252,291,Kantor Pertamina,-6.2665698,106.8444104,POINT (106.8444104 -6.2665698),106.8444104,-6.2665698
253,292,Pertamina SPBU 34-11712,-6.154579396,106.744916282,POINT (106.744916282 -6.154579396),106.744916282,-6.154579396
254,293,Shell,-6.193782,106.889006,POINT (106.889006 -6.193782),106.889006,-6.193782
255,294,Pertamina,-6.28113,106.81914,POINT (106.81914 -6.28113),106.81914,-6.28113
256,295,Pertamina,-6.15299,106.88649,POINT (106.88649 -6.15299),106.88649,-6.15299
257,296,Pertamina,-6.233067077124772,106.82238748670972,POINT (106.82238748670972 -6.2330670771247725),106.82238748670972,-6.2330670771247725
258,297,Pertamina,-6.273678615,106.797506824,POINT (106.797506824 -6.273678615),106.797506824,-6.273678615
259,298,Pertamina,-6.28602,106.9228,POINT (106.9228 -6.28602),106.9228,-6.28602
260,299,Pom Bensin Mini Kebon Mede,-6.09919,106.70595,POINT (106.70595 -6.09919),106.70595,-6.09919
261,300,Pertamina,-6.11112,106.948335,POINT (106.948335 -6.11112),106.948335,-6.11112
262,301,Pertamina,-6.20869,106.77016,POINT (106.77016 -6.20869),106.77016,-6.20869
263,302,Vivo,-6.269305005634441,106.75443614110665,POINT (106.75443614110665 -6.269305005634441),106.75443614110665,-6.269305005634441
264,303,Pertamina,-6.161013855941399,106.90467751443097,POINT (106.90467751443097 -6.161013855941399),106.90467751443097,-6.161013855941399
265,304,Cv. Kramat Motor,-6.18187,106.83909,POINT (106.83909 -6.18187),106.83909,-6.18187
266,305,Pertamina,-6.300932,106.821043,POINT (106.821043 -6.300932),106.821043,-6.300932
267,306,Pertamina,-6.23841,106.89962,POINT (106.89962 -6.23841),106.89962,-6.23841
268,307,Pertamina,-6.1237942,106.7341173,POINT (106.7341173 -6.1237942),106.7341173,-6.1237942
269,308,Spbg Pinang Ranti,-6.291471977147624,106.88655625155003,POINT (106.88655625155003 -6.291471977147624),106.88655625155003,-6.291471977147624
270,309,Jerokris Motor,-6.25933655,106.8536106,POINT (106.8536106 -6.25933655),106.8536106,-6.25933655
271,310,Pertamini,-6.319784747229239,106.79643,POINT (106.79643 -6.319784747229239),106.79643,-6.319784747229239
272,311,Pertamina,-6.212603806756629,106.77234319446164,POINT (106.77234319446164 -6.212603806756629),106.77234319446164,-6.212603806756629
273,312,Pangkalan Lpg Kg Pertamina,-6.381496192780651,106.85204942212046,POINT (106.85204942212046 -6.381496192780651),106.85204942212046,-6.381496192780651
274,313,Pertamina,-6.2186,106.94256,POINT (106.94256 -6.2186),106.94256,-6.2186
275,315,Pertamina,-6.27510047590456,106.83001477961197,POINT (106.83001477961197 -6.27510047590456),106.83001477961197,-6.27510047590456
276,317,Pertamina,-6.38087,106.85632,POINT (106.85632 -6.38087),106.85632,-6.38087
277,318,Pertamina,-6.26219,106.80856,POINT (106.80856 -6.26219),106.80856,-6.26219
278,319,Pertamina,-6.244284434768131,106.78805700742498,POINT (106.78805700742498 -6.244284434768131),106.78805700742498,-6.244284434768131
279,320,Simply,-6.1567949,106.9090072,POINT (106.9090072 -6.1567949),106.9090072,-6.1567949
280,321,Pertamina,-6.196001,106.7298,POINT (106.7298 -6.196001),106.7298,-6.196001
281,322,Pertamina,-6.2491,106.94124,POINT (106.94124 -6.2491),106.94124,-6.2491
282,323,Pertamina,-6.32697,106.822631,POINT (106.822631 -6.32697),106.822631,-6.32697
283,324,Sekretariat RW 01 Tegal Alur,-6.099814,106.71461,POINT (106.71461 -6.099814),106.71461,-6.099814
284,325,Pertamina,-6.121593,106.732545771,POINT (106.732545771 -6.121593),106.732545771,-6.121593
285,326,Shell,-6.112137657778648,106.75361566885101,POINT (106.75361566885101 -6.112137657778648),106.75361566885101,-6.112137657778648
286,327,Tac Pertamina Ep-Pbmsj,-6.227628338318352,106.83305471265011,POINT (106.83305471265011 -6.227628338318352),106.83305471265011,-6.227628338318352
287,328,Pertamina,-6.28093,106.74639,POINT (106.74639 -6.28093),106.74639,-6.28093
288,331,Indomaret,-6.27822,106.81079,POINT (106.81079 -6.27822),106.81079,-6.27822
289,332,Shell,-6.24086,106.837154,POINT (106.837154 -6.24086),106.837154,-6.24086
290,333,Shell,-6.26944209508335,106.911988097596,POINT (106.911988097596 -6.26944209508335),106.911988097596,-6.26944209508335
291,334,BP,-6.198254,106.760214,POINT (106.760214 -6.198254),106.760214,-6.198254
292,335,Pertamina,-6.257337,106.781403,POINT (106.781403 -6.257337),106.781403,-6.257337
293,336,Pertamina,-6.30906,106.86897,POINT (106.86897 -6.30906),106.86897,-6.30906
294,337,Shell,-6.177659,106.729018,POINT (106.729018 -6.177659),106.729018,-6.177659
295,338,Pertamina,-6.287141,106.825902,POINT (106.825902 -6.287141),106.825902,-6.287141
296,339,Pertamina,-6.25975,106.78895,POINT (106.78895 -6.25975),106.78895,-6.25975
297,340,Spbu Ratna,-6.270255357729059,106.95046994320694,POINT (106.95046994320694 -6.270255357729059),106.95046994320694,-6.270255357729059
298,341,Pertamina,-6.10732,106.71971,POINT (106.71971 -6.10732),106.71971,-6.10732
299,342,Pertamina,-6.366081,106.888561,POINT (106.888561 -6.366081),106.888561,-6.366081
300,343,BP,-6.148087,106.860271,POINT (106.860271 -6.148087),106.860271,-6.148087
301,344,Pertamina,-6.247152,106.842435,POINT (106.842435 -6.247152),106.842435,-6.247152
302,345,Pertamina,-6.176466966720958,106.89511377876069,POINT (106.89511377876069 -6.176466966720958),106.89511377876069,-6.176466966720958
303,347,Pertamina SPBU 34-13421,-6.21859,106.9426,POINT (106.9426 -6.21859),106.9426,-6.21859
304,348,Leo Tirtasari Motor,-6.162557,106.790681,POINT (106.790681 -6.162557),106.790681,-6.162557
305,349,Pertamina,-6.235864,106.844635,POINT (106.844635 -6.235864),106.844635,-6.235864
306,350,Pertamina,-6.36864,106.86022,POINT (106.86022 -6.36864),106.86022,-6.36864
307,351,Pertamina,-6.19268,106.88279,POINT (106.88279 -6.19268),106.88279,-6.19268
308,352,Shell,-6.265531,106.808116,POINT (106.808116 -6.265531),106.808116,-6.265531
309,353,VIVO,-6.30972,106.81353,POINT (106.81353 -6.30972),106.81353,-6.30972
310,354,Pertamina,-6.290619811,106.871635988,POINT (106.871635988 -6.290619811),106.871635988,-6.290619811
311,355,Pelita Air Service,-6.17635,106.81963,POINT (106.81963 -6.17635),106.81963,-6.17635
312,356,Pertamina,-6.19088,106.90644,POINT (106.90644 -6.19088),106.90644,-6.19088
313,357,Pertamina,-6.26106,106.7392,POINT (106.7392 -6.26106),106.7392,-6.26106
314,358,Pertamina,-6.22137,106.79056,POINT (106.79056 -6.22137),106.79056,-6.22137
315,359,Pertamina,-6.289615,106.896547,POINT (106.896547 -6.289615),106.896547,-6.289615
316,360,Shell,-6.19759147925365,106.706346827908,POINT (106.706346827908 -6.19759147925365),106.706346827908,-6.19759147925365
317,361,Pertamina,-6.29607,106.81589,POINT (106.81589 -6.29607),106.81589,-6.29607
318,362,Shell,-6.332422,106.892459,POINT (106.892459 -6.332422),106.892459,-6.332422
319,363,Pertamina,-6.16774,106.84266,POINT (106.84266 -6.16774),106.84266,-6.16774
320,364,Pertamina,-6.108569999983043,106.90240551668776,POINT (106.90240551668776 -6.108569999983043),106.90240551668776,-6.108569999983043
321,365,Agung Collection,-6.3075,106.8633,POINT (106.8633 -6.3075),106.8633,-6.3075
322,366,Pertamina,-6.295756119324128,106.82524459131399,POINT (106.82524459131399 -6.295756119324128),106.82524459131399,-6.295756119324128
323,367,Pertamina,-6.2188,106.76044,POINT (106.76044 -6.2188),106.76044,-6.2188
324,368,Pertamina,-6.22164,106.87434,POINT (106.87434 -6.22164),106.87434,-6.22164
325,369,Shell,-6.289952,106.795718,POINT (106.795718 -6.289952),106.795718,-6.289952
326,370,Pertamina,-6.302533,106.853006,POINT (106.853006 -6.302533),106.853006,-6.302533
327,371,Shell,-6.174016837680329,106.85603927365577,POINT (106.85603927365577 -6.1740168376803295),106.85603927365577,-6.1740168376803295
328,372,Pertamina,-6.173554,106.890896,POINT (106.890896 -6.173554),106.890896,-6.173554
329,373,Pertamini,-6.30664,106.87313,POINT (106.87313 -6.30664),106.87313,-6.30664
330,375,Pertamina,-6.258602,106.796654,POINT (106.796654 -6.258602),106.796654,-6.258602
331,376,Pertamina,-6.17959,106.75881,POINT (106.75881 -6.17959),106.75881,-6.17959
332,378,Pertamina,-6.211766,106.89017,POINT (106.89017 -6.211766),106.89017,-6.211766
333,381,Shell,-6.219887,106.820481,POINT (106.820481 -6.219887),106.820481,-6.219887
334,382,Pertamina,-6.27232,106.74956,POINT (106.74956 -6.27232),106.74956,-6.27232
335,383,Pertamina,-6.275254697878709,106.91276633147895,POINT (106.91276633147895 -6.275254697878709),106.91276633147895,-6.275254697878709
336,384,Pertamina,-6.14529,106.72989,POINT (106.72989 -6.14529),106.72989,-6.14529
337,385,Pertamina,-6.23644,106.74271,POINT (106.74271 -6.23644),106.74271,-6.23644
338,386,Pertamina,-6.24735,106.91735,POINT (106.91735 -6.24735),106.91735,-6.24735
339,387,Pertamina,-6.26543,106.76589,POINT (106.76589 -6.26543),106.76589,-6.26543
340,388,Pertamina,-6.238451,106.844207,POINT (106.844207 -6.238451),106.844207,-6.238451
341,389,Pertamina,-6.17198,106.81141,POINT (106.81141 -6.17198),106.81141,-6.17198
342,390,Pertamina,-6.25348,106.95227,POINT (106.95227 -6.25348),106.95227,-6.25348
343,391,Pertamina,-6.09444466,106.689933525,POINT (106.689933525 -6.09444466),106.689933525,-6.09444466
344,392,Pertamina,-6.238202548294714,106.86864438827898,POINT (106.86864438827898 -6.238202548294714),106.86864438827898,-6.238202548294714
345,394,Pertamina,-6.193604512105616,106.79782199657537,POINT (106.79782199657537 -6.193604512105616),106.79782199657537,-6.193604512105616
346,396,Pertamina,-6.37307,106.87205,POINT (106.87205 -6.37307),106.87205,-6.37307
347,398,PT Pertamina Drilling Services Indonesia Pdsi,-6.20507,106.85831,POINT (106.85831 -6.20507),106.85831,-6.20507
348,399,Spbu Pertamina Pasti Pas,-6.173,106.7216,POINT (106.7216 -6.173),106.7216,-6.173
349,400,Pertamina,-6.166654267,106.9151903,POINT (106.9151903 -6.166654267),106.9151903,-6.166654267
350,401,Pertamina,-6.159473813233415,106.69648592970935,POINT (106.69648592970935 -6.159473813233415),106.69648592970935,-6.159473813233415
351,404,Detailing Cuci Mobil,-6.31923,106.77454,POINT (106.77454 -6.31923),106.77454,-6.31923
352,405,Pertamina,-6.138747,106.763502,POINT (106.763502 -6.138747),106.763502,-6.138747
353,406,Pertamina,-6.211184075900747,106.71309785829514,POINT (106.71309785829514 -6.211184075900747),106.71309785829514,-6.211184075900747
354,407,Pertamina,-6.1808,106.84346,POINT (106.84346 -6.1808),106.84346,-6.1808
355,408,Pertamina,-6.22892,106.91248,POINT (106.91248 -6.22892),106.91248,-6.22892
356,409,Spbg Mampang,-6.23958,106.82616,POINT (106.82616 -6.23958),106.82616,-6.23958
357,410,Pertamina,-6.23704,106.75301,POINT (106.75301 -6.23704),106.75301,-6.23704
358,411,Pertamina,-6.196104,106.840242,POINT (106.840242 -6.196104),106.840242,-6.196104
359,412,Pertamina,-6.20131,106.97743,POINT (106.97743 -6.20131),106.97743,-6.20131
360,413,Pertamina,-6.27694,106.93423,POINT (106.93423 -6.27694),106.93423,-6.27694
361,414,Juragan Andara Mobil,-6.31418,106.80384,POINT (106.80384 -6.31418),106.80384,-6.31418
362,415,Shell,-6.18595,106.87482,POINT (106.87482 -6.18595),106.87482,-6.18595
363,416,Pertamina,-6.37668,106.8871,POINT (106.8871 -6.37668),106.8871,-6.37668
364,417,Pertamina,-6.10314,106.71638,POINT (106.71638 -6.10314),106.71638,-6.10314
365,421,Shell,-6.25851,106.949444,POINT (106.949444 -6.25851),106.949444,-6.25851
366,422,Pertamina,-6.270553,106.759915,POINT (106.759915 -6.270553),106.759915,-6.270553
367,423,Pertamina,-6.185755,106.948005,POINT (106.948005 -6.185755),106.948005,-6.185755
368,424,Pertamina,-6.37322,106.8327,POINT (106.8327 -6.37322),106.8327,-6.37322
369,425,Alfamart,-6.14821,106.79442,POINT (106.79442 -6.14821),106.79442,-6.14821
370,426,Pertamina,-6.27019,106.9505,POINT (106.9505 -6.27019),106.9505,-6.27019
371,428,Pertamina,-6.13047,106.70324,POINT (106.70324 -6.13047),106.70324,-6.13047
372,429,Trishindo Jaya Motor,-6.14452,106.70392,POINT (106.70392 -6.14452),106.70392,-6.14452
373,430,BP,-6.19826267,106.76024037,POINT (106.76024037 -6.19826267),106.76024037,-6.19826267
374,431,Pertamina,-6.311465124,106.92415283,POINT (106.92415283 -6.311465124),106.92415283,-6.311465124
375,432,Warung Bang Udin,-6.1379,106.75912,POINT (106.75912 -6.1379),106.75912,-6.1379
376,433,Shell,-6.188917,106.771494,POINT (106.771494 -6.188917),106.771494,-6.188917
377,434,Pertamina,-6.383673308868289,106.89998699604128,POINT (106.89998699604128 -6.383673308868289),106.89998699604128,-6.383673308868289
378,435,Vivo,-6.277968335,106.808097965,POINT (106.808097965 -6.277968335),106.808097965,-6.277968335
379,436,Pertamina,-6.121663,106.80425,POINT (106.80425 -6.121663),106.80425,-6.121663
380,437,Pertamina,-6.26689,106.81575,POINT (106.81575 -6.26689),106.81575,-6.26689
381,438,Pertamina,-6.19914,106.69676,POINT (106.69676 -6.19914),106.69676,-6.19914
382,439,Pertamina,-6.34776025933871,106.92052530074216,POINT (106.92052530074216 -6.34776025933871),106.92052530074216,-6.34776025933871
383,440,Kopi Kenangan BP Metland,-6.20022,106.70422,POINT (106.70422 -6.20022),106.70422,-6.20022
384,441,Pertamina,-6.16398,106.6767,POINT (106.6767 -6.16398),106.6767,-6.16398
385,442,Mandiri Cell,-6.286769895566681,106.94631604913872,POINT (106.94631604913872 -6.286769895566681),106.94631604913872,-6.286769895566681
386,444,Pertamina,-6.312326,106.836754,POINT (106.836754 -6.312326),106.836754,-6.312326
387,446,Pertamina,-6.118492100188949,106.9252367296157,POINT (106.9252367296157 -6.118492100188949),106.9252367296157,-6.118492100188949
388,447,Imam Knalpot,-6.256917547,106.768207575,POINT (106.768207575 -6.256917547),106.768207575,-6.256917547
389,449,Pertamina,-6.138645,106.867362,POINT (106.867362 -6.138645),106.867362,-6.138645
390,450,Pertamina,-6.27836,106.77279,POINT (106.77279 -6.27836),106.77279,-6.27836
391,451,Pertamina,-6.22794,106.77857,POINT (106.77857 -6.22794),106.77857,-6.22794
392,452,Pertamina,-6.154218115637422,106.79317961014164,POINT (106.79317961014164 -6.1542181156374225),106.79317961014164,-6.1542181156374225
393,453,Pertamina,-6.24424,106.78809,POINT (106.78809 -6.24424),106.78809,-6.24424
394,454,Pertamina,-6.17619,106.83183,POINT (106.83183 -6.17619),106.83183,-6.17619
395,455,Pertamina,-6.22969,106.72307,POINT (106.72307 -6.22969),106.72307,-6.22969
396,456,Pertamina,-6.148275,106.830896,POINT (106.830896 -6.148275),106.830896,-6.148275
397,457,Pertamina,-6.31796,106.76918,POINT (106.76918 -6.31796),106.76918,-6.31796
